preference,trait,time
0.01268,1.866,311
0.01256,1.872,312
0.01244,1.878,313
0.01232,1.884,314
0.0122,1.89,315
0.01208,1.896,316
0.01196,1.902,317
0.01184,1.908,318
0.01172,1.914,319
0.0116,1.92,320
0.01148,1.926,321
0.01136,1.932,322
0.01124,1.938,323
0.01112,1.944,324
0.011,1.95,325
0.01088,1.956,326
0.01076,1.962,327
0.01064,1.968,328
0.01052,1.974,329
0.0104,1.98,330
0.01028,1.986,331
0.01016,1.992,332
0.01004,1.998,333
0.00992,2.004,334
0.0098,2.01,335
0.00968,2.016,336
0.00956,2.022,337
0.00944,2.028,338
0.00932,2.034,339
0.0092,2.04,340
0.00908,2.046,341
0.00896,2.052,342
0.00884,2.058,343
0.00872,2.064,344
0.0086,2.07,345
0.00848,2.076,346
0.00836,2.082,347
0.00824,2.088,348
0.00812,2.094,349
0.008,2.1,350
0.00788,2.106,351
0.00776,2.112,352
0.00764,2.118,353
0.00752,2.124,354
0.0074,2.13,355
0.00728,2.136,356
0.00716,2.142,357
0.00704,2.148,358
0.00692,2.154,359
0.0068,2.16,360
0.00668,2.166,361
0.00656,2.172,362
0.00644,2.178,363
0.00632,2.184,364
0.0062,2.19,365
0.00608,2.196,366
0.00596,2.202,367
0.00584,2.208,368
0.00572,2.214,369
0.0056,2.22,370
0.00548,2.226,371
0.00536,2.232,372
0.00524,2.238,373
0.00512,2.244,374
0.005,2.25,375
0.00488,2.256,376
0.00476,2.262,377
0.00464,2.268,378
0.00452,2.274,379
0.0044,2.28,380
0.00428,2.286,381
0.00416,2.292,382
0.00404,2.298,383
0.00392,2.304,384
0.0038,2.31,385
0.00368,2.316,386
0.00356,2.322,387
0.00344,2.328,388
0.00332,2.334,389
0.0032,2.34,390
0.00308,2.346,391
0.00296,2.352,392
0.00284,2.358,393
0.00272,2.364,394
0.0026,2.37,395
0.00248,2.376,396
0.00236,2.382,397
0.00224,2.388,398
0.00212,2.394,399
0.002,2.4,400
0.00188,2.406,401
0.00176,2.412,402
0.00164,2.418,403
0.00152,2.424,404
0.0014,2.43,405
0.00128,2.436,406
0.00116,2.442,407
0.00104,2.448,408
0.00092,2.454,409
0.0008,2.46,410
0.00068,2.466,411
0.00056,2.472,412
0.00044,2.478,413
0.00032,2.484,414
0.0002,2.49,415
8e-05,2.496,416
-4e-05,2.502,417
-0.00016,2.508,418
-0.00028,2.514,419
-0.0004,2.52,420
-0.00052,2.526,421
-0.00064,2.532,422
-0.00076,2.538,423
-0.00088,2.544,424
-0.001,2.55,425
-0.00112,2.556,426
-0.00124,2.562,427
-0.00136,2.568,428
-0.00148,2.574,429
-0.0016,2.58,430
-0.00172,2.586,431
-0.00184,2.592,432
-0.00196,2.598,433
-0.00208,2.604,434
-0.0022,2.61,435
-0.00232,2.616,436
-0.00244,2.622,437
-0.00256,2.628,438
-0.00268,2.634,439
-0.0028,2.64,440
-0.00292,2.646,441
-0.00304,2.652,442
-0.00316,2.658,443
-0.00328,2.664,444
-0.0034,2.67,445
-0.00352,2.676,446
-0.00364,2.682,447
-0.00376,2.688,448
-0.00388,2.694,449
-0.004,2.7,450
-0.00412,2.706,451
-0.00424,2.712,452
-0.00436,2.718,453
-0.00448,2.724,454
-0.0046,2.73,455
-0.00472,2.736,456
-0.00484,2.742,457
-0.00496,2.748,458
-0.00508,2.754,459
-0.0052,2.76,460
-0.00532,2.766,461
-0.00544,2.772,462
-0.00556,2.778,463
-0.00568,2.784,464
-0.0058,2.79,465
-0.00592,2.796,466
-0.00604,2.802,467
-0.00616,2.808,468
-0.00628,2.814,469
-0.0064,2.82,470
-0.00652,2.826,471
-0.00664,2.832,472
-0.00676,2.838,473
-0.00688,2.844,474
-0.007,2.85,475
-0.00712,2.856,476
-0.00724,2.862,477
-0.00736,2.868,478
-0.00748,2.874,479
-0.0076,2.88,480
-0.00772,2.886,481
-0.00784,2.892,482
-0.00796,2.898,483
-0.00808,2.904,484
-0.0082,2.91,485
-0.00832,2.916,486
-0.00844,2.922,487
-0.00856,2.928,488
-0.00868,2.934,489
-0.0088,2.94,490
-0.00892,2.946,491
-0.00904,2.952,492
-0.00916,2.958,493
-0.00928,2.964,494
-0.0094,2.97,495
-0.00952,2.976,496
-0.00964,2.982,497
-0.00976,2.988,498
-0.00988,2.994,499
-0.01,3,500
-0.01012,3.006,501
-0.01024,3.012,502
-0.01036,3.018,503
-0.01048,3.024,504
-0.0106,3.03,505
-0.01072,3.036,506
-0.01084,3.042,507
-0.01096,3.048,508
-0.01108,3.054,509
-0.0112,3.06,510
-0.01132,3.066,511
-0.01144,3.072,512
-0.01156,3.078,513
-0.01168,3.084,514
-0.0118,3.09,515
-0.01192,3.096,516
-0.01204,3.102,517
-0.01216,3.108,518
-0.01228,3.114,519
-0.0124,3.12,520
-0.01252,3.126,521
-0.01264,3.132,522
-0.01276,3.138,523
-0.01288,3.144,524
-0.013,3.15,525
-0.01312,3.156,526
-0.01324,3.162,527
-0.01336,3.168,528
-0.01348,3.174,529
-0.0136,3.18,530
-0.01372,3.186,531
-0.01384,3.192,532
-0.01396,3.198,533
-0.01408,3.204,534
-0.0142,3.21,535
-0.01432,3.216,536
-0.01444,3.222,537
-0.01456,3.228,538
-0.01468,3.234,539
-0.0148,3.24,540
-0.01492,3.246,541
-0.01504,3.252,542
-0.01516,3.258,543
-0.01528,3.264,544
-0.0154,3.27,545
-0.01552,3.276,546
-0.01564,3.282,547
-0.01576,3.288,548
-0.01588,3.294,549
-0.016,3.3,550
-0.01612,3.306,551
-0.01624,3.312,552
-0.01636,3.318,553
-0.01648,3.324,554
-0.0166,3.33,555
-0.01672,3.336,556
-0.01684,3.342,557
-0.01696,3.348,558
-0.01708,3.354,559
-0.0172,3.36,560
-0.01732,3.366,561
-0.01744,3.372,562
-0.01756,3.378,563
-0.01768,3.384,564
-0.0178,3.39,565
-0.01792,3.396,566
-0.01804,3.402,567
-0.01816,3.408,568
-0.01828,3.414,569
-0.0184,3.42,570
-0.01852,3.426,571
-0.01864,3.432,572
-0.01876,3.438,573
-0.01888,3.444,574
-0.019,3.45,575
-0.01912,3.456,576
-0.01924,3.462,577
-0.01936,3.468,578
-0.01948,3.474,579
-0.0196,3.48,580
-0.01972,3.486,581
-0.01984,3.492,582
-0.01996,3.498,583
-0.02008,3.504,584
-0.0202,3.51,585
-0.02032,3.516,586
-0.02044,3.522,587
-0.02056,3.528,588
-0.02068,3.534,589
-0.0208,3.54,590
-0.02092,3.546,591
-0.02104,3.552,592
-0.02116,3.558,593
-0.02128,3.564,594
-0.0214,3.57,595
-0.02152,3.576,596
-0.02164,3.582,597
-0.02176,3.588,598
-0.02188,3.594,599
-0.022,3.6,600
-0.02212,3.606,601
-0.02224,3.612,602
-0.02236,3.618,603
-0.02248,3.624,604
-0.0226,3.63,605
-0.02272,3.636,606
-0.02284,3.642,607
-0.02296,3.648,608
-0.02308,3.654,609
-0.0232,3.66,610
-0.02332,3.666,611
-0.02344,3.672,612
-0.02356,3.678,613
-0.02368,3.684,614
-0.0238,3.69,615
-0.02392,3.696,616
-0.02404,3.702,617
-0.02416,3.708,618
-0.02428,3.714,619
-0.0244,3.72,620
-0.02452,3.726,621
-0.02464,3.732,622
-0.02476,3.738,623
-0.02488,3.744,624
-0.025,3.75,625
-0.02512,3.756,626
-0.02524,3.762,627
-0.02536,3.768,628
-0.02548,3.774,629
-0.0256,3.78,630
-0.02572,3.786,631
-0.02584,3.792,632
-0.02596,3.798,633
-0.02608,3.804,634
-0.0262,3.81,635
-0.02632,3.816,636
-0.02644,3.822,637
-0.02656,3.828,638
-0.02668,3.834,639
-0.0268,3.84,640
-0.02692,3.846,641
-0.02704,3.852,642
-0.02716,3.858,643
-0.02728,3.864,644
-0.0274,3.87,645
-0.02752,3.876,646
-0.02764,3.882,647
-0.02776,3.888,648
-0.02788,3.894,649
-0.028,3.9,650
-0.02812,3.906,651
-0.02824,3.912,652
-0.02836,3.918,653
-0.02848,3.924,654
-0.0286,3.93,655
-0.02872,3.936,656
-0.02884,3.942,657
-0.02896,3.948,658
-0.02908,3.954,659
-0.0292,3.96,660
-0.02932,3.966,661
-0.02944,3.972,662
-0.02956,3.978,663
-0.02968,3.984,664
-0.0298,3.99,665
-0.02992,3.996,666
-0.03004,4.002,667
-0.03016,4.008,668
-0.03028,4.014,669
-0.0304,4.02,670
-0.03052,4.026,671
-0.03064,4.032,672
-0.03076,4.038,673
-0.03088,4.044,674
-0.031,4.05,675
-0.03112,4.056,676
-0.03124,4.062,677
-0.03136,4.068,678
-0.03148,4.074,679
-0.0316,4.08,680
-0.03172,4.086,681
-0.03184,4.092,682
-0.03196,4.098,683
-0.03208,4.104,684
-0.0322,4.11,685
-0.03232,4.116,686
-0.03244,4.122,687
-0.03256,4.128,688
-0.03268,4.134,689
-0.0328,4.14,690
-0.03292,4.146,691
-0.03304,4.152,692
-0.03316,4.158,693
-0.03328,4.164,694
-0.0334,4.17,695
-0.03352,4.176,696
-0.03364,4.182,697
-0.03376,4.188,698
-0.03388,4.194,699
-0.034,4.2,700
-0.03412,4.206,701
-0.03424,4.212,702
-0.03436,4.218,703
-0.03448,4.224,704
-0.0346,4.23,705
-0.03472,4.236,706
-0.03484,4.242,707
-0.03496,4.248,708
-0.03508,4.254,709
-0.0352,4.26,710
-0.03532,4.266,711
-0.03544,4.272,712
-0.03556,4.278,713
-0.03568,4.284,714
-0.0358,4.29,715
-0.03592,4.296,716
-0.03604,4.302,717
-0.03616,4.308,718
-0.03628,4.314,719
-0.0364,4.32,720
-0.03652,4.326,721
-0.03664,4.332,722
-0.03676,4.338,723
-0.03688,4.344,724
-0.037,4.35,725
-0.03712,4.356,726
-0.03724,4.362,727
-0.03736,4.368,728
-0.03748,4.374,729
-0.0376,4.38,730
-0.03772,4.386,731
-0.03784,4.392,732
-0.03796,4.398,733
-0.03808,4.404,734
-0.0382,4.41,735
-0.03832,4.416,736
-0.03844,4.422,737
-0.03856,4.428,738
-0.03868,4.434,739
-0.0388,4.44,740
-0.03892,4.446,741
-0.03904,4.452,742
-0.03916,4.458,743
-0.03928,4.464,744
-0.0394,4.47,745
-0.03952,4.476,746
-0.03964,4.482,747
-0.03976,4.488,748
-0.03988,4.494,749
-0.04,4.5,750
-0.04012,4.506,751
-0.04024,4.512,752
-0.04036,4.518,753
-0.04048,4.524,754
-0.0406,4.53,755
-0.04072,4.536,756
-0.04084,4.542,757
-0.04096,4.548,758
-0.04108,4.554,759
-0.0412,4.56,760
-0.04132,4.566,761
-0.04144,4.572,762
-0.04156,4.578,763
-0.04168,4.584,764
-0.0418,4.59,765
-0.04192,4.596,766
-0.04204,4.602,767
-0.04216,4.608,768
-0.04228,4.614,769
-0.0424,4.62,770
-0.04252,4.626,771
-0.04264,4.632,772
-0.04276,4.638,773
-0.04288,4.644,774
-0.043,4.65,775
-0.04312,4.656,776
-0.04324,4.662,777
-0.04336,4.668,778
-0.04348,4.674,779
-0.0436,4.68,780
-0.04372,4.686,781
-0.04384,4.692,782
-0.04396,4.698,783
-0.04408,4.704,784
-0.0442,4.71,785
-0.04432,4.716,786
-0.04444,4.722,787
-0.04456,4.728,788
-0.04468,4.734,789
-0.0448,4.74,790
-0.04492,4.746,791
-0.04504,4.752,792
-0.04516,4.758,793
-0.04528,4.764,794
-0.0454,4.77,795
-0.04552,4.776,796
-0.04564,4.782,797
-0.04576,4.788,798
-0.04588,4.794,799
-0.046,4.8,800
-0.04612,4.806,801
-0.04624,4.812,802
-0.04636,4.818,803
-0.04648,4.824,804
-0.0466,4.83,805
-0.04672,4.836,806
-0.04684,4.842,807
-0.04696,4.848,808
-0.04708,4.854,809
-0.0472,4.86,810
-0.04732,4.866,811
-0.04744,4.872,812
-0.04756,4.878,813
-0.04768,4.884,814
-0.0478,4.89,815
-0.04792,4.896,816
-0.04804,4.902,817
-0.04816,4.908,818
-0.04828,4.914,819
-0.0484,4.92,820
-0.04852,4.926,821
-0.04864,4.932,822
-0.04876,4.938,823
-0.04888,4.944,824
-0.049,4.95,825
-0.04912,4.956,826
-0.04924,4.962,827
-0.04936,4.968,828
-0.04948,4.974,829
-0.0496,4.98,830
-0.04972,4.986,831
-0.04984,4.992,832
-0.04996,4.998,833
-0.05008,5.004,834
-0.0502,5.01,835
-0.05032,5.016,836
-0.05044,5.022,837
-0.05056,5.028,838
-0.05068,5.034,839
-0.0508,5.04,840
-0.05092,5.046,841
-0.05104,5.052,842
-0.05116,5.058,843
-0.05128,5.064,844
-0.0514,5.07,845
-0.05152,5.076,846
-0.05164,5.082,847
-0.05176,5.088,848
-0.05188,5.094,849
-0.052,5.1,850
-0.05212,5.106,851
-0.05224,5.112,852
-0.05236,5.118,853
-0.05248,5.124,854
-0.0526,5.13,855
-0.05272,5.136,856
-0.05284,5.142,857
-0.05296,5.148,858
-0.05308,5.154,859
-0.0532,5.16,860
-0.05332,5.166,861
-0.05344,5.172,862
-0.05356,5.178,863
-0.05368,5.184,864
-0.0538,5.19,865
-0.05392,5.196,866
-0.05404,5.202,867
-0.05416,5.208,868
-0.05428,5.214,869
-0.0544,5.22,870
-0.05452,5.226,871
-0.05464,5.232,872
-0.05476,5.238,873
-0.05488,5.244,874
-0.055,5.25,875
-0.05512,5.256,876
-0.05524,5.262,877
-0.05536,5.268,878
-0.05548,5.274,879
-0.0556,5.28,880
-0.05572,5.286,881
-0.05584,5.292,882
-0.05596,5.298,883
-0.05608,5.304,884
-0.0562,5.31,885
-0.05632,5.316,886
-0.05644,5.322,887
-0.05656,5.328,888
-0.05668,5.334,889
-0.0568,5.34,890
-0.05692,5.346,891
-0.05704,5.352,892
-0.05716,5.358,893
-0.05728,5.364,894
-0.0574,5.37,895
-0.05752,5.376,896
-0.05764,5.382,897
-0.05776,5.388,898
-0.05788,5.394,899
-0.058,5.4,900
-0.05812,5.406,901
-0.05824,5.412,902
-0.05836,5.418,903
-0.05848,5.424,904
-0.0586,5.43,905
-0.05872,5.436,906
-0.05884,5.442,907
-0.05896,5.448,908
-0.05908,5.454,909
-0.0592,5.46,910
-0.05932,5.466,911
-0.05944,5.472,912
-0.05956,5.478,913
-0.05968,5.484,914
-0.0598,5.49,915
-0.05992,5.496,916
-0.06004,5.502,917
-0.06016,5.508,918
-0.06028,5.514,919
-0.0604,5.52,920
-0.06052,5.526,921
-0.06064,5.532,922
-0.06076,5.538,923
-0.06088,5.544,924
-0.061,5.55,925
-0.06112,5.556,926
-0.06124,5.562,927
-0.06136,5.568,928
-0.06148,5.574,929
-0.0616,5.58,930
-0.06172,5.586,931
-0.06184,5.592,932
-0.06196,5.598,933
-0.06208,5.604,934
-0.0622,5.61,935
-0.06232,5.616,936
-0.06244,5.622,937
-0.06256,5.628,938
-0.06268,5.634,939
-0.0628,5.64,940
-0.06292,5.646,941
-0.06304,5.652,942
-0.06316,5.658,943
-0.06328,5.664,944
-0.0634,5.67,945
-0.06352,5.676,946
-0.06364,5.682,947
-0.06376,5.688,948
-0.06388,5.694,949
-0.064,5.7,950
-0.06412,5.706,951
-0.06424,5.712,952
-0.06436,5.718,953
-0.06448,5.724,954
-0.0646,5.73,955
-0.06472,5.736,956
-0.06484,5.742,957
-0.06496,5.748,958
-0.06508,5.754,959
-0.0652,5.76,960
-0.06532,5.766,961
-0.06544,5.772,962
-0.06556,5.778,963
-0.06568,5.784,964
-0.0658,5.79,965
-0.06592,5.796,966
-0.06604,5.802,967
-0.06616,5.808,968
-0.06628,5.814,969
-0.0664,5.82,970
-0.06652,5.826,971
-0.06664,5.832,972
-0.06676,5.838,973
-0.06688,5.844,974
-0.067,5.85,975
-0.06712,5.856,976
-0.06724,5.862,977
-0.06736,5.868,978
-0.06748,5.874,979
-0.0676,5.88,980
-0.06772,5.886,981
-0.06784,5.892,982
-0.06796,5.898,983
-0.06808,5.904,984
-0.0682,5.91,985
-0.06832,5.916,986
-0.06844,5.922,987
-0.06856,5.928,988
-0.06868,5.934,989
-0.0688,5.94,990
-0.06892,5.946,991
-0.06904,5.952,992
-0.06916,5.958,993
-0.06928,5.964,994
-0.0694,5.97,995
-0.06952,5.976,996
-0.06964,5.982,997
-0.06976,5.988,998
-0.06988,5.994,999
-0.07,6,1000
